TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in �m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
AEMC,ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,ORD 1P,GG00B45L2K95,SHRS,Financials,Financial Services ,10/11/2009,Guernsey,GBX,�329.57,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
AJIT,ABERDEEN JAPAN INVESTMENT TRUST PLC,ORD 10P,GB0003920757,SHRS,Financials,Financial Services ,10/11/2006,United Kingdom,GBX,�95.07,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ALAI,ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,ORD NPV,JE00B44ZTP62,SHRS,Financials,Financial Services ,16/08/2010,Jersey,GBX,�30.98,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ABD,ABERDEEN NEW DAWN INVESTMENT TRUST PLC,ORD 5P,GB00BBM56V29,SHRS,Financials,Financial Services ,03/09/2013,United Kingdom,GBX,�349.71,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ANII,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,ORD 25P,GB0006048770,SHRS,Financials,Financial Services ,22/12/2004,United Kingdom,GBX,�359.53,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ANW,ABERDEEN NEW THAI INVESTMENT TRUST PLC,ORD 25P,GB0000059971,SHRS,Financials,Financial Services ,21/06/2005,United Kingdom,GBX,�68.26,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ASCI,ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,ORD 50P,GB0008063728,SHRS,Financials,Financial Services ,17/09/1999,United Kingdom,GBX,�82.91,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAS,ABERDEEN STANDARD ASIA FOCUS PLC,ORD 25P,GB0000100767,SHRS,Financials,Financial Services ,18/12/2006,United Kingdom,GBX,�430.04,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASEI,ABERDEEN STANDARD EQUITY INCOME TRUST PLC,ORD 25P,GB0006039597,SHRS,Financials,Financial Services ,29/12/2005,United Kingdom,GBX,�173.01,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASLI,ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,ORD 1P,GB00BD9PXH49,SHRS,Real Estate,Real Estate ,15/12/2017,United Kingdom,GBX,�328.69,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,ORD 1P,GB0000066554,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,"�1,424.42",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ORD 1P,GB00BYPBD394,SHRS,Financials,Financial Services ,03/07/2017,United Kingdom,GBX,�164.76,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ZDP 1P,GB00BYPBD519,SHRS,Financials,Financial Services ,03/07/2017,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSQ3,SQS3
ABDX,ABINGDON HEALTH PLC,ORD 0.025P,GB00BLF79J41,SHRS,Health Care ,Health Care  ,15/12/2020,United Kingdom,GBX,�55.51,AIM,,ASQ1,AMQ1
ABDN,ABRDN PLC,ORD 13 61/63P,GB00BF8Q6K64,SHRS,Financials,Financial Services ,22/10/2018,United Kingdom,GBX,"�5,826.89",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AC8,ACCELER8 VENTURES PLC,ORD GBP0.01,JE00BNG2DL20,SHRS,Financials,Financial Services ,19/07/2021,Jersey,GBX,�1.76,MAIN MARKET,Standard Shares,SSQ3,SQS3
ACC,ACCESS INTELLIGENCE PLC,ORD 5P,GB00BGQVB052,SHRS,Technology,Technology,02/11/2018,United Kingdom,GBX,�167.74,AIM,,ASX1,AIMP
ACSO,ACCESSO TECHNOLOGY GROUP PLC,ORD 1P,GB0001771426,SHRS,Technology,Technology,24/04/2002,United Kingdom,GBX,�305.24,AIM,,ASQ1,AMQ1
ACRL,ACCROL GROUP HOLDINGS PLC,ORD GBP0.001,GB00BZ6VT592,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",10/06/2016,United Kingdom,GBX,�171.24,AIM,,AMSM,ASM6
AXS,ACCSYS TECHNOLOGIES PLC,ORD EUR0.05,GB00BQQFX454,SHRS,Industrials,Construction and Materials,12/09/2014,United Kingdom,GBX,�298.65,AIM,,AMSM,ASM6
AIF,ACORN INCOME FUND LD,ORD 1P,GB0004829437,SHRS,Financials,Financial Services ,13/09/1999,Guernsey,GBX,�57.97,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AIFZ,ACORN INCOME FUND LD,RED ZDP 1P,GG00BYMJ7X48,SHRS,Financials,Financial Services ,01/02/2017,Guernsey,GBX,�34.61,MAIN MARKET,Standard Shares,SSQ3,SQS3
AEG,ACTIVE ENERGY GROUP PLC,ORD 0.01P,GB00B1YMN108,SHRS,Energy,Energy,02/07/2007,United Kingdom,GBX,�16.58,AIM,,ASQ1,AMQ1
AOM,ACTIVEOPS PLC,ORD 0.1P,GB00BLH37Y17,SHRS,Technology,Technology,29/03/2021,United Kingdom,GBX,�120.18,AIM,,ASQ1,AMQ1
ACT,ACTUAL EXPERIENCE PLC,ORD 0.2P,GB00BJ05QC14,SHRS,Technology,Technology,13/02/2014,United Kingdom,GBX,�60.64,AIM,,ASQ1,AMQ1
ADA,ADAMS PLC,ORD GBP0.01,IM00B986V543,SHRS,Real Estate,Real Estate ,13/08/2018,Isle of Man,GBX,�13.13,AIM,,ASQ1,AMQ1
ADT,ADEPT TECHNOLOGY GROUP PLC,ORD 10P,GB00B0WY3Y47,SHRS,Telecommunications,Telecommunications,19/09/2006,United Kingdom,GBX,�65.33,AIM,,ASX1,AIMP
ADME,ADM ENERGY PLC,ORD 1P,GB00BJFDXW97,SHRS,Energy,Energy,11/06/2019,United Kingdom,GBX,�4.02,AIM,,ASX1,AIMP
ADM,ADMIRAL GROUP PLC,ORD 0.1P,GB00B02J6398,SHRS,Financials,Insurance,20/12/2004,United Kingdom,GBX,"�10,865.03",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
ADT1,ADRIATIC METALS PLC,ORD 1.3355P,GB00BL0L5G04,SHRS,Basic Materials,Basic Resources,12/12/2019,United Kingdom,GBX,�312.62,MAIN MARKET,Standard Shares,SSMU,SMEU
ADVT,ADVANCEDADVT LIMITED,ORD NPV (DI),VGG0103J1075,SHRS,Financials,Financial Services ,07/04/2021,British Virgin Islands,GBX,,MAIN MARKET,Standard Shares,SSX3,SQSL
AMS,ADVANCED MEDICAL SOLUTIONS GROUP PLC,ORD 5P,GB0004536594,SHRS,Health Care ,Health Care  ,30/04/2002,United Kingdom,GBX,�573.92,AIM,,AMSM,AS50
AVO,ADVANCED ONCOTHERAPY PLC,ORD 25P,GB00BD6SX109,SHRS,Health Care ,Health Care  ,01/07/2016,United Kingdom,GBX,�129.62,AIM,,ASX1,AIMP
ADV,ADVANCE ENERGY PLC,ORD NPV,IM00BKSCP798,SHRS,Energy,Energy,19/04/2021,Isle of Man,GBX,�33.40,AIM,,ASQ1,AMQ1
AFN,ADVFN PLC,ORD 0.2P,GB00BPT24C10,SHRS,Financials,Financial Services ,21/08/2014,United Kingdom,GBX,�17.37,AIM,,ASX1,AIMP
87FZ,AECI LD,5 1/2% CUM PRF R2,ZAE000000238,SHRS,Basic Materials,Chemicals,28/06/2002,South Africa,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
AEO,AEOREMA COMMUNICATIONS PLC,ORD 12.5P,GB00B4QHH456,SHRS,Consumer Discretionary,Media,29/06/2009,United Kingdom,GBX,�3.42,AIM,,ASX1,AIMP
AEWU,AEW UK REIT PLC,ORD GBP0.01,GB00BWD24154,SHRS,Real Estate,Real Estate ,12/05/2015,United Kingdom,GBX,�164.13,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
AEXG,AEX GOLD INC.,COM SHS NPV (DI),CA00108V1022,SHRS,Basic Materials,Basic Resources,31/07/2020,Canada,GBX,�50.47,AIM,,ASQ1,AMQ1
AFRK,AFARAK GROUP PLC,ORD NPV (DI),FI0009800098,SHRS,Basic Materials,Basic Resources,26/07/2010,Finland,GBX,�50.41,MAIN MARKET,Standard Shares,SSQ3,SQS3
AFC,AFC ENERGY PLC,ORD 0.1P,GB00B18S7B29,SHRS,Energy,Energy,24/04/2007,United Kingdom,GBX,�436.24,AIM,,AMSM,AS50
AET,AFENTRA PLC,ORD 10P,GB00B4X3Q493,SHRS,Energy,Energy,23/12/2009,United Kingdom,GBX,�32.35,AIM,,AMSM,ASM6
AFRN,AFERIAN PLC,ORD 1P,GB00B013SN63,SHRS,Telecommunications,Telecommunications,19/12/2005,United Kingdom,GBX,�127.56,AIM,,ASQ1,AMQ1
AFP,AFRICAN PIONEER PLC,ORD NPV,IM00B8C0HK22,SHRS,Basic Materials,Basic Resources,01/06/2021,Isle of Man,GBX,�5.21,MAIN MARKET,Standard Shares,SSQ3,SQS3
AOF,AFRICA OPPORTUNITY FUND LIMITED,ORD USD0.01,KYG012921469,SHRS,Financials,Financial Services ,02/06/2021,Cayman Islands,USD,�13.33,MAIN MARKET - SFS,,SFM3,SFNC
ATM,AFRITIN MINING LIMITED,ORD NPV,GG00BD95V148,SHRS,Basic Materials,Basic Resources,09/11/2017,Guernsey,GBX,�62.29,AIM,,ASQ1,AMQ1
AGTA,AGRITERRA LD,ORD 10P,GG00BDG13C09,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",01/12/2017,Guernsey,GBX,�1.09,AIM,,AMSM,ASM8
ANIC,AGRONOMICS LIMITED ,ORD 0.0001P,IM00B6QH1J21,SHRS,Health Care ,Health Care  ,15/09/2011,Isle of Man,GBX,�157.52,AIM,,ASQ1,AMQ1
AIBG,AIB GROUP PLC,ORD EUR0.625 (CDI),IE00BF0L3536,SHRS,Financials,Banks,11/12/2017,Ireland,GBX,"�5,974.35",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON5
AIQ,AIQ LIMITED,ORD GBP0.01 (DI),KYG0180A1022,SHRS,Financials,Financial Services ,09/01/2018,Cayman Islands,GBX,�11.33,MAIN MARKET,Standard Shares,SSQ3,SQS3
AIRC,AIR CHINA LD,H SHS CNY1,CNE1000001S0,SHRS,Consumer Discretionary,Travel and Leisure,17/10/2007,China,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
AIEA,AIREA PLC,ORD 25P,GB0008123027,SHRS,Consumer Discretionary,Consumer Products and Services,21/12/2005,United Kingdom,GBX,�13.23,AIM,,ASX1,AIMP
AIR,AIR PARTNER PLC,ORD 1P,GB00BD736828,SHRS,Consumer Discretionary,Travel and Leisure,31/01/2017,United Kingdom,GBX,�54.92,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
AAF,AIRTEL AFRICA PLC,ORD USD0.50,GB00BKDRYJ47,SHRS,Telecommunications,Telecommunications,03/07/2019,United Kingdom,GBX,"�3,510.11",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
AJB,AJ BELL PLC,ORD GBP0.000125,GB00BFZNLB60,SHRS,Financials,Financial Services ,07/12/2018,United Kingdom,GBX,"�1,773.32",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
ALBA,ALBA MINERAL RESOURCES PLC,ORD 0.01P,GB00B06KBB18,SHRS,Basic Materials,Basic Resources,04/04/2005,United Kingdom,GBX,�16.65,AIM,,ASQ1,AMQ1
AADV,ALBION DEVELOPMENT VCT PLC,ORD 1P,GB0004832472,SHRS,Financials,Financial Services ,27/01/1999,United Kingdom,GBX,�90.79,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAEV,ALBION ENTERPRISE VCT PLC,ORD 1P,GB00B1G3LR35,SHRS,Financials,Financial Services ,10/04/2007,United Kingdom,GBX,�89.05,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AATG,ALBION TECHNOLOGY & GENERAL VCT PLC,ORD 1P,GB0005581672,SHRS,Financials,Financial Services ,17/01/2001,United Kingdom,GBX,�99.99,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAVC,ALBION VENTURE CAPITAL TST PLC,ORD 1P,GB0002039625,SHRS,Financials,Financial Services ,14/09/1999,United Kingdom,GBX,�55.04,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ALFA,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,ORD 0.1P,GB00BDHXPG30,SHRS,Technology,Technology,26/05/2017,United Kingdom,GBX,�446.25,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
UFO,ALIEN METALS LIMITED,COM SHS NPV (DI),VGG017351021,SHRS,Basic Materials,Basic Resources,23/10/2018,British Virgin Islands,GBX,�27.40,AIM,,ASX1,AIMP
ALNA,ALINA HOLDINGS PLC,ORD 1P,GB00B1VS7G47,SHRS,Real Estate,Real Estate ,18/06/2007,United Kingdom,GBX,�4.81,MAIN MARKET,Standard Shares,SSMU,SMEW
AGY,ALLERGY THERAPEUTICS PLC,ORD 0.1P,GB00B02LCQ05,SHRS,Health Care ,Health Care  ,11/10/2004,United Kingdom,GBX,�212.44,AIM,,ASQ1,AMQ1
APH,ALLIANCE PHARMA PLC,ORD 1P,GB0031030819,SHRS,Health Care ,Health Care  ,24/03/2005,United Kingdom,GBX,�576.20,AIM,,AMSM,AS50
ATST,ALLIANCE TRUST PLC,ORD 2.5P,GB00B11V7W98,SHRS,Financials,Financial Services ,21/06/2006,United Kingdom,GBX,"�3,231.87",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ATT,ALLIANZ TECHNOLOGY TRUST PLC,ORD 2.5P,GB00BNG2M159,SHRS,Financials,Financial Services ,04/05/2021,United Kingdom,GBX,"�1,312.26",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
ALM,ALLIED MINDS PLC,ORD 1P,GB00BLRLH124,SHRS,Financials,Financial Services ,20/06/2014,United Kingdom,GBX,�61.11,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
AFM,ALPHA FINANCIAL MARKETS CONSULTING PLC,ORD 0.075P,GB00BF16C058,SHRS,Industrials,Industrial Goods and Services,11/10/2017,United Kingdom,GBX,�397.50,AIM,,ASQ1,AMQ1
AFX,ALPHA FX GROUP PLC,ORD 0.2P,GB00BF1TM596,SHRS,Financials,Financial Services ,07/04/2017,United Kingdom,GBX,�733.03,AIM,,ASQ1,AMQ1
ALGW,ALPHA GROWTH PLC,ORD GBP0.001,GB00BYWKBC49,SHRS,Financials,Financial Services ,20/12/2017,United Kingdom,GBX,�11.23,MAIN MARKET,Standard Shares,SSQ3,SQS3
ARTL,ALPHA REAL TRUST LIMITED,ORD NPV,GB00B13VDP26,SHRS,Real Estate,Real Estate ,21/12/2006,Guernsey,GBX,�105.31,MAIN MARKET - SFS,,SFM2,SFQQ
AWE,ALPHAWAVE IP GROUP PLC,ORD GBP1,GB00BNDRMJ14,SHRS,Technology,Technology,18/05/2021,United Kingdom,GBX,"�2,254.23",MAIN MARKET,Standard Shares,SSMU,SMEV
AIRE,ALTERNATIVE INCOME REIT PLC,ORD GBP0.01,GB00BDVK7088,SHRS,Real Estate,Real Estate ,06/06/2017,United Kingdom,GBX,�58.52,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ALF,ALTERNATIVE LIQUIDITY FUND LIMITED,ORD USD0.01,GG00BYRGPD65,SHRS,Financials,Financial Services ,17/09/2015,Guernsey,USD,�6.98,MAIN MARKET - SFS,,SFM2,SFQQ
ALT,ALTITUDE GROUP PLC,ORD 0.4P,GB00B0LSFV82,SHRS,Technology,Technology,19/09/2006,United Kingdom,GBX,�22.26,AIM,,ASQ1,AMQ1
ALS,ALTUS STRATEGIES PLC,ORD 5P,GB00BJ9TYB96,SHRS,Basic Materials,Basic Resources,24/02/2020,United Kingdom,GBX,�61.50,AIM,,ASQ1,AMQ1
ALTN,ALTYNGOLD PLC,ORD 10P,GB00BMH19X50,SHRS,Basic Materials,Basic Resources,23/11/2020,United Kingdom,GBX,�33.89,MAIN MARKET,Standard Shares,SET3,ON15
ALU,ALUMASC GROUP PLC,ORD 12.5P,GB0000280353,SHRS,Industrials,Construction and Materials,15/02/2000,United Kingdom,GBX,�86.72,AIM,,ASQ1,AMQ1
DISH,AMALA FOODS PLC,ORD NPV,JE00BG12QT70,SHRS,Technology,Technology,02/08/2018,Jersey,GBX,�3.46,MAIN MARKET,Standard Shares,SSQ3,SQS3
AMAT,AMATI AIM VCT PLC,ORD 5P,GB00B641BB82,SHRS,Financials,Financial Services ,11/11/2011,United Kingdom,GBX,�269.87,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AA4,AMEDEO AIR FOUR PLUS LIMITED,RED ORD NPV,GG00BKY41C61,SHRS,Industrials,Industrial Goods and Services,28/09/2020,Guernsey,GBX,�99.85,MAIN MARKET - SFS,,SFM2,SFQQ
AMGO,AMIGO HOLDINGS PLC,ORD 0.25P,GB00BFFK8T45,SHRS,Financials,Financial Services ,29/06/2018,United Kingdom,GBX,�39.14,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON25
AEX,AMINEX PLC,ORD EUR0.001 (CDI),IE0003073255,SHRS,Energy,Energy,16/09/1996,Ireland,GBX,�21.68,MAIN MARKET,Standard Shares,SSQ3,SQS3
AMYT,AMRYT PHARMA PLC,ORD 6P,GB00BKLTQ412,SHRS,Health Care ,Health Care  ,25/09/2019,United Kingdom,GBX,�540.52,AIM,,ASQ1,AMQ1
AMTE,AMTE POWER PLC,ORD 0.5P,GB00BNQRZZ55,SHRS,Industrials,Industrial Goods and Services,12/03/2021,United Kingdom,GBX,�78.87,AIM,,ASQ1,AMQ1
AMC,AMUR MINERALS CORPORATION,ORD NPV,VGG042401007,SHRS,Basic Materials,Basic Resources,15/03/2006,British Virgin Islands,GBX,�29.25,AIM,,AMSM,ASM6
ASY,ANDREWS SYKES GROUP PLC,ORD 1P,GB0002684552,SHRS,Industrials,Industrial Goods and Services,24/12/2001,United Kingdom,GBX,�227.74,AIM,,ASQ1,AMQ1
AMOI,ANEMOI INTERNATIONAL LTD,ORD USD 0.001 (DI),VGG0419A1057,SHRS,Financials,Financial Services ,26/10/2020,British Virgin Islands,GBX,�1.46,MAIN MARKET,Standard Shares,SSQ3,SQS3
ANX,ANEXO GROUP PLC,ORD 0.05P,GB00BF2G3L29,SHRS,Industrials,Industrial Goods and Services,20/06/2018,United Kingdom,GBX,�156.02,AIM,,ASQ1,AMQ1
AGL,ANGLE PLC,ORD 10P,GB0034330679,SHRS,Health Care ,Health Care  ,23/12/2004,United Kingdom,GBX,�244.24,AIM,,ASX1,AIMP
AYM,ANGLESEY MINING PLC,ORD 1P,GB0000320472,SHRS,Basic Materials,Basic Resources,08/09/2005,United Kingdom,GBX,�8.68,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
ANG,ANGLING DIRECT PLC,ORD 1P,GB00BF1XGQ00,SHRS,Consumer Discretionary,Retail ,13/07/2017,United Kingdom,GBX,�53.70,AIM,,ASQ1,AMQ1
AAAP,ANGLO AFRICAN AGRICULTURE PLC,ORD 2P,GB00BKBS0353,SHRS,Financials,Financial Services ,31/10/2019,United Kingdom,GBX,�1.19,MAIN MARKET,Standard Shares,SSQ3,SQS3
AAL,ANGLO AMERICAN PLC,ORD USD0.54945,GB00B1XZS820,SHRS,Basic Materials,Basic Resources,02/07/2007,United Kingdom,GBX,"�41,953.36",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
AAZ,ANGLO ASIAN MINING PLC,ORD 1P,GB00B0C18177,SHRS,Basic Materials,Basic Resources,17/07/2006,United Kingdom,GBX,�151.00,AIM,,ASQ1,AMQ1
AEP,ANGLO-EASTERN PLANTATIONS PLC,ORD 25P,GB0000365774,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",19/12/2005,United Kingdom,GBX,�249.71,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
APF,ANGLO PACIFIC GROUP PLC,ORD 2P,GB0006449366,SHRS,Basic Materials,Basic Resources,02/12/2005,United Kingdom,GBX,�277.52,MAIN MARKET,Standard Shares,SSMU,SMEV
ANGS,ANGUS ENERGY PLC,ORD GBP0.002,GB00BYWKC989,SHRS,Energy,Energy,14/11/2016,United Kingdom,GBX,�7.49,AIM,,ASQ1,AMQ1
ANCR,ANIMALCARE GROUP PLC,ORD 20P,GB0032350695,SHRS,Health Care ,Health Care  ,15/01/2008,United Kingdom,GBX,�217.53,AIM,,ASQ1,AMQ1
ANP,ANPARIO PLC,ORD 23P,GB00B3NWT178,SHRS,Health Care ,Health Care  ,04/10/2010,United Kingdom,GBX,�164.61,AIM,,ASX1,AIMP
70GD,ANTOFAGASTA PLC,5% CUM PRF #1,GB0000455849,SHRS,Basic Materials,Basic Resources,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
ANTO,ANTOFAGASTA PLC,ORD 5P,GB0000456144,SHRS,Basic Materials,Basic Resources,08/03/2004,United Kingdom,GBX,"�14,413.22",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AO.,AO WORLD PLC,ORD 0.25P,GB00BJTNFH41,SHRS,Consumer Discretionary,Retail ,26/02/2014,United Kingdom,GBX,"�1,098.08",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
APAX,APAX GLOBAL ALPHA LIMITED,ORD NPV,GG00BWWYMV85,SHRS,Financials,Financial Services ,15/06/2015,Guernsey,GBX,"�1,036.22",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
AGM,APPLIED GRAPHENE MATERIALS PLC,ORD 2P,GB00BFSSB742,SHRS,Basic Materials,Chemicals,20/11/2013,United Kingdom,GBX,�18.01,AIM,,ASQ1,AMQ1
APP,APPRECIATE GROUP PLC,ORD 2P,GB0006710643,SHRS,Financials,Financial Services ,21/06/2005,United Kingdom,GBX,�52.18,AIM,,AMSM,ASM8
APQ,APQ GLOBAL LIMITED,ORD NPV,GG00BZ6VP173,SHRS,Financials,Financial Services ,26/08/2016,Guernsey,GBX,�9.80,AIM,,ASQ1,AMQ1
APTD,APTITUDE SOFTWARE GROUP PLC,ORD 7 1/3P,GB00BJV2F804,SHRS,Technology,Technology,24/09/2019,United Kingdom,GBX,�386.09,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
AEEE,AQUILA ENERGY EFFICIENCY TRUST PLC,ORD GBP0.01 (EUR),GB00BN6JYS78,SHRS,Financials,Financial Services ,02/06/2021,United Kingdom,EUR,,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AEET,AQUILA ENERGY EFFICIENCY TRUST PLC,ORD GBP0.01,GB00BN6JYS78,SHRS,Financials,Financial Services ,02/06/2021,United Kingdom,GBX,�96.25,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AERI,AQUILA EUROPEAN RENEWABLES INCOME FUND PLC,ORD EUR0.01,GB00BK6RLF66,SHRS,Financials,Financial Services ,05/06/2019,United Kingdom,EUR,�293.70,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
AERS,AQUILA EUROPEAN RENEWABLES INCOME FUND PLC,ORD EUR0.01 (GBP),GB00BK6RLF66,SHRS,Financials,Financial Services ,05/06/2019,United Kingdom,GBX,�294.87,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
AQSG,AQUILA SERVICES GROUP PLC,ORD 5P,GB00BPYP3Q26,SHRS,Financials,Financial Services ,28/08/2014,United Kingdom,GBX,�10.39,MAIN MARKET,Standard Shares,SSQ3,SQS3
AQX,AQUIS EXCHANGE PLC,ORD 10P,GB00BD5JNK30,SHRS,Financials,Financial Services ,14/06/2018,United Kingdom,GBX,�193.83,AIM,,ASQ1,AMQ1
ARBB,ARBUTHNOT BANKING GROUP PLC,ORD 1P,GB0007922338,SHRS,Financials,Banks,27/06/2005,United Kingdom,GBX,�151.12,AIM,,AMSM,ASM7
